Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1613667333.831	   100.122	0	3449	0	0	cd _experiments/pres_64s_3l/_simulations/004_pres_64s_3l && bash run.sh -e pres_64s_3l -i 004 -s 64 -c 32 -rmo
13	:	1613667333.878	   100.624	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/012_pres_64s_3l && bash run.sh -e pres_64s_3l -i 012 -s 64 -c 32 -rmo
11	:	1613667333.865	   100.651	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/010_pres_64s_3l && bash run.sh -e pres_64s_3l -i 010 -s 64 -c 32 -rmo
15	:	1613667333.887	   100.629	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/014_pres_64s_3l && bash run.sh -e pres_64s_3l -i 014 -s 64 -c 32 -rmo
18	:	1613667333.906	   100.611	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/017_pres_64s_3l && bash run.sh -e pres_64s_3l -i 017 -s 64 -c 32 -rmo
20	:	1613667333.916	   100.601	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/019_pres_64s_3l && bash run.sh -e pres_64s_3l -i 019 -s 64 -c 32 -rmo
7	:	1613667333.843	   100.680	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/006_pres_64s_3l && bash run.sh -e pres_64s_3l -i 006 -s 64 -c 32 -rmo
21	:	1613667333.921	   100.602	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/020_pres_64s_3l && bash run.sh -e pres_64s_3l -i 020 -s 64 -c 32 -rmo
26	:	1613667333.952	   100.572	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/025_pres_64s_3l && bash run.sh -e pres_64s_3l -i 025 -s 64 -c 32 -rmo
27	:	1613667333.955	   100.569	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/026_pres_64s_3l && bash run.sh -e pres_64s_3l -i 026 -s 64 -c 32 -rmo
29	:	1613667333.965	   100.560	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/028_pres_64s_3l && bash run.sh -e pres_64s_3l -i 028 -s 64 -c 32 -rmo
30	:	1613667333.973	   100.552	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/029_pres_64s_3l && bash run.sh -e pres_64s_3l -i 029 -s 64 -c 32 -rmo
2	:	1613667333.818	   100.710	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/001_pres_64s_3l && bash run.sh -e pres_64s_3l -i 001 -s 64 -c 32 -rmo
6	:	1613667333.838	   100.691	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/005_pres_64s_3l && bash run.sh -e pres_64s_3l -i 005 -s 64 -c 32 -rmo
31	:	1613667333.976	   100.554	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/030_pres_64s_3l && bash run.sh -e pres_64s_3l -i 030 -s 64 -c 32 -rmo
32	:	1613667333.983	   100.547	0	3633	0	0	cd _experiments/pres_64s_3l/_simulations/031_pres_64s_3l && bash run.sh -e pres_64s_3l -i 031 -s 64 -c 32 -rmo
3	:	1613667333.822	   100.713	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/002_pres_64s_3l && bash run.sh -e pres_64s_3l -i 002 -s 64 -c 32 -rmo
