Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
20	:	1613743708.938	    48.260	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/019_pres_64s_3l && bash run.sh -e pres_64s_3l -i 019 -s 64 -c 32 -rmo
17	:	1613743708.921	    48.336	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/016_pres_64s_3l && bash run.sh -e pres_64s_3l -i 016 -s 64 -c 32 -rmo
4	:	1613743708.835	    48.428	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/003_pres_64s_3l && bash run.sh -e pres_64s_3l -i 003 -s 64 -c 32 -rmo
26	:	1613743708.965	    48.301	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/025_pres_64s_3l && bash run.sh -e pres_64s_3l -i 025 -s 64 -c 32 -rmo
6	:	1613743708.847	    48.429	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/005_pres_64s_3l && bash run.sh -e pres_64s_3l -i 005 -s 64 -c 32 -rmo
7	:	1613743708.853	    48.425	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/006_pres_64s_3l && bash run.sh -e pres_64s_3l -i 006 -s 64 -c 32 -rmo
10	:	1613743708.873	    48.406	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/009_pres_64s_3l && bash run.sh -e pres_64s_3l -i 009 -s 64 -c 32 -rmo
31	:	1613743708.996	    48.282	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/030_pres_64s_3l && bash run.sh -e pres_64s_3l -i 030 -s 64 -c 32 -rmo
8	:	1613743708.857	    48.483	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/007_pres_64s_3l && bash run.sh -e pres_64s_3l -i 007 -s 64 -c 32 -rmo
12	:	1613743708.886	    48.456	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/011_pres_64s_3l && bash run.sh -e pres_64s_3l -i 011 -s 64 -c 32 -rmo
18	:	1613743708.925	    48.417	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/017_pres_64s_3l && bash run.sh -e pres_64s_3l -i 017 -s 64 -c 32 -rmo
21	:	1613743708.944	    48.398	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/020_pres_64s_3l && bash run.sh -e pres_64s_3l -i 020 -s 64 -c 32 -rmo
22	:	1613743708.949	    48.394	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/021_pres_64s_3l && bash run.sh -e pres_64s_3l -i 021 -s 64 -c 32 -rmo
32	:	1613743708.999	    48.345	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/031_pres_64s_3l && bash run.sh -e pres_64s_3l -i 031 -s 64 -c 32 -rmo
25	:	1613743708.959	    48.450	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/024_pres_64s_3l && bash run.sh -e pres_64s_3l -i 024 -s 64 -c 32 -rmo
23	:	1613743708.953	    48.516	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/022_pres_64s_3l && bash run.sh -e pres_64s_3l -i 022 -s 64 -c 32 -rmo
16	:	1613743708.915	    48.559	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/015_pres_64s_3l && bash run.sh -e pres_64s_3l -i 015 -s 64 -c 32 -rmo
29	:	1613743708.987	    48.546	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/028_pres_64s_3l && bash run.sh -e pres_64s_3l -i 028 -s 64 -c 32 -rmo
30	:	1613743708.992	    48.610	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/029_pres_64s_3l && bash run.sh -e pres_64s_3l -i 029 -s 64 -c 32 -rmo
13	:	1613743708.896	    48.796	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/012_pres_64s_3l && bash run.sh -e pres_64s_3l -i 012 -s 64 -c 32 -rmo
2	:	1613743708.825	    48.935	0	3638	0	0	cd _experiments/pres_64s_3l/_simulations/001_pres_64s_3l && bash run.sh -e pres_64s_3l -i 001 -s 64 -c 32 -rmo
19	:	1613743708.934	    48.958	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/018_pres_64s_3l && bash run.sh -e pres_64s_3l -i 018 -s 64 -c 32 -rmo
15	:	1613743708.906	    49.042	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/014_pres_64s_3l && bash run.sh -e pres_64s_3l -i 014 -s 64 -c 32 -rmo
9	:	1613743708.862	    49.098	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/008_pres_64s_3l && bash run.sh -e pres_64s_3l -i 008 -s 64 -c 32 -rmo
27	:	1613743708.968	    48.993	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/026_pres_64s_3l && bash run.sh -e pres_64s_3l -i 026 -s 64 -c 32 -rmo
24	:	1613743708.956	    49.007	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/023_pres_64s_3l && bash run.sh -e pres_64s_3l -i 023 -s 64 -c 32 -rmo
3	:	1613743708.831	    49.197	0	3638	0	0	cd _experiments/pres_64s_3l/_simulations/002_pres_64s_3l && bash run.sh -e pres_64s_3l -i 002 -s 64 -c 32 -rmo
5	:	1613743708.842	    49.187	0	3635	0	0	cd _experiments/pres_64s_3l/_simulations/004_pres_64s_3l && bash run.sh -e pres_64s_3l -i 004 -s 64 -c 32 -rmo
14	:	1613743708.901	    49.128	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/013_pres_64s_3l && bash run.sh -e pres_64s_3l -i 013 -s 64 -c 32 -rmo
11	:	1613743708.878	    49.154	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/010_pres_64s_3l && bash run.sh -e pres_64s_3l -i 010 -s 64 -c 32 -rmo
1	:	1613743708.822	    49.217	0	3606	0	0	cd _experiments/pres_64s_3l/_simulations/000_pres_64s_3l && bash run.sh -e pres_64s_3l -i 000 -s 64 -c 32 -rmo
28	:	1613743708.981	    49.059	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/027_pres_64s_3l && bash run.sh -e pres_64s_3l -i 027 -s 64 -c 32 -rmo
38	:	1613743757.290	    32.795	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/037_pres_64s_3l && bash run.sh -e pres_64s_3l -i 037 -s 64 -c 32 -rmo
33	:	1613743757.205	    32.947	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/032_pres_64s_3l && bash run.sh -e pres_64s_3l -i 032 -s 64 -c 32 -rmo
35	:	1613743757.269	    33.055	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/034_pres_64s_3l && bash run.sh -e pres_64s_3l -i 034 -s 64 -c 32 -rmo
37	:	1613743757.282	    33.106	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/036_pres_64s_3l && bash run.sh -e pres_64s_3l -i 036 -s 64 -c 32 -rmo
42	:	1613743757.355	    33.101	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/041_pres_64s_3l && bash run.sh -e pres_64s_3l -i 041 -s 64 -c 32 -rmo
43	:	1613743757.360	    33.177	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/042_pres_64s_3l && bash run.sh -e pres_64s_3l -i 042 -s 64 -c 32 -rmo
39	:	1613743757.296	    33.497	0	3637	0	0	cd _experiments/pres_64s_3l/_simulations/038_pres_64s_3l && bash run.sh -e pres_64s_3l -i 038 -s 64 -c 32 -rmo
46	:	1613743757.381	    35.782	0	3636	0	0	cd _experiments/pres_64s_3l/_simulations/045_pres_64s_3l && bash run.sh -e pres_64s_3l -i 045 -s 64 -c 32 -rmo
62	:	1613743758.046	    35.184	0	3937	0	0	cd _experiments/pres_64s_3l/_simulations/061_pres_64s_3l && bash run.sh -e pres_64s_3l -i 061 -s 64 -c 32 -rmo
54	:	1613743757.897	    35.333	0	3935	0	0	cd _experiments/pres_64s_3l/_simulations/053_pres_64s_3l && bash run.sh -e pres_64s_3l -i 053 -s 64 -c 32 -rmo
