Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1613744423.440	    36.940	0	3606	0	0	cd _experiments/pres_64s_4l/_simulations/000_pres_64s_4l && bash run.sh -e pres_64s_4l -i 000 -s 64 -c 32 -rmo
15	:	1613744423.514	    36.868	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/014_pres_64s_4l && bash run.sh -e pres_64s_4l -i 014 -s 64 -c 32 -rmo
27	:	1613744423.593	    36.789	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/026_pres_64s_4l && bash run.sh -e pres_64s_4l -i 026 -s 64 -c 32 -rmo
5	:	1613744423.459	    36.927	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/004_pres_64s_4l && bash run.sh -e pres_64s_4l -i 004 -s 64 -c 32 -rmo
23	:	1613744423.565	    36.886	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/022_pres_64s_4l && bash run.sh -e pres_64s_4l -i 022 -s 64 -c 32 -rmo
26	:	1613744423.589	    36.864	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/025_pres_64s_4l && bash run.sh -e pres_64s_4l -i 025 -s 64 -c 32 -rmo
11	:	1613744423.491	    36.970	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/010_pres_64s_4l && bash run.sh -e pres_64s_4l -i 010 -s 64 -c 32 -rmo
12	:	1613744423.497	    36.964	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/011_pres_64s_4l && bash run.sh -e pres_64s_4l -i 011 -s 64 -c 32 -rmo
14	:	1613744423.508	    36.955	0	3634	0	0	cd _experiments/pres_64s_4l/_simulations/013_pres_64s_4l && bash run.sh -e pres_64s_4l -i 013 -s 64 -c 32 -rmo
20	:	1613744423.546	    36.917	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/019_pres_64s_4l && bash run.sh -e pres_64s_4l -i 019 -s 64 -c 32 -rmo
29	:	1613744423.599	    36.864	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/028_pres_64s_4l && bash run.sh -e pres_64s_4l -i 028 -s 64 -c 32 -rmo
31	:	1613744423.619	    37.209	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/030_pres_64s_4l && bash run.sh -e pres_64s_4l -i 030 -s 64 -c 32 -rmo
10	:	1613744423.485	    37.418	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/009_pres_64s_4l && bash run.sh -e pres_64s_4l -i 009 -s 64 -c 32 -rmo
17	:	1613744423.525	    37.378	0	3638	0	0	cd _experiments/pres_64s_4l/_simulations/016_pres_64s_4l && bash run.sh -e pres_64s_4l -i 016 -s 64 -c 32 -rmo
4	:	1613744423.455	    37.519	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/003_pres_64s_4l && bash run.sh -e pres_64s_4l -i 003 -s 64 -c 32 -rmo
8	:	1613744423.475	    37.607	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/007_pres_64s_4l && bash run.sh -e pres_64s_4l -i 007 -s 64 -c 32 -rmo
32	:	1613744423.623	    37.531	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/031_pres_64s_4l && bash run.sh -e pres_64s_4l -i 031 -s 64 -c 32 -rmo
7	:	1613744423.471	    37.807	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/006_pres_64s_4l && bash run.sh -e pres_64s_4l -i 006 -s 64 -c 32 -rmo
9	:	1613744423.480	    37.859	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/008_pres_64s_4l && bash run.sh -e pres_64s_4l -i 008 -s 64 -c 32 -rmo
18	:	1613744423.532	    37.896	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/017_pres_64s_4l && bash run.sh -e pres_64s_4l -i 017 -s 64 -c 32 -rmo
30	:	1613744423.602	    37.871	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/029_pres_64s_4l && bash run.sh -e pres_64s_4l -i 029 -s 64 -c 32 -rmo
21	:	1613744423.553	    37.926	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/020_pres_64s_4l && bash run.sh -e pres_64s_4l -i 020 -s 64 -c 32 -rmo
19	:	1613744423.540	    38.146	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/018_pres_64s_4l && bash run.sh -e pres_64s_4l -i 018 -s 64 -c 32 -rmo
13	:	1613744423.502	    38.265	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/012_pres_64s_4l && bash run.sh -e pres_64s_4l -i 012 -s 64 -c 32 -rmo
16	:	1613744423.519	    38.812	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/015_pres_64s_4l && bash run.sh -e pres_64s_4l -i 015 -s 64 -c 32 -rmo
2	:	1613744423.445	    38.950	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/001_pres_64s_4l && bash run.sh -e pres_64s_4l -i 001 -s 64 -c 32 -rmo
22	:	1613744423.558	    38.845	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/021_pres_64s_4l && bash run.sh -e pres_64s_4l -i 021 -s 64 -c 32 -rmo
6	:	1613744423.466	    38.941	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/005_pres_64s_4l && bash run.sh -e pres_64s_4l -i 005 -s 64 -c 32 -rmo
24	:	1613744423.569	    38.839	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/023_pres_64s_4l && bash run.sh -e pres_64s_4l -i 023 -s 64 -c 32 -rmo
25	:	1613744423.572	    38.899	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/024_pres_64s_4l && bash run.sh -e pres_64s_4l -i 024 -s 64 -c 32 -rmo
3	:	1613744423.450	    39.026	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/002_pres_64s_4l && bash run.sh -e pres_64s_4l -i 002 -s 64 -c 32 -rmo
28	:	1613744423.595	    38.882	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/027_pres_64s_4l && bash run.sh -e pres_64s_4l -i 027 -s 64 -c 32 -rmo
44	:	1613744460.832	    26.233	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/043_pres_64s_4l && bash run.sh -e pres_64s_4l -i 043 -s 64 -c 32 -rmo
46	:	1613744460.916	    26.220	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/045_pres_64s_4l && bash run.sh -e pres_64s_4l -i 045 -s 64 -c 32 -rmo
33	:	1613744460.387	    26.827	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/032_pres_64s_4l && bash run.sh -e pres_64s_4l -i 032 -s 64 -c 32 -rmo
47	:	1613744460.979	    26.236	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/046_pres_64s_4l && bash run.sh -e pres_64s_4l -i 046 -s 64 -c 32 -rmo
40	:	1613744460.474	    26.746	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/039_pres_64s_4l && bash run.sh -e pres_64s_4l -i 039 -s 64 -c 32 -rmo
53	:	1613744461.476	    25.744	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/052_pres_64s_4l && bash run.sh -e pres_64s_4l -i 052 -s 64 -c 32 -rmo
37	:	1613744460.461	    26.760	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/036_pres_64s_4l && bash run.sh -e pres_64s_4l -i 036 -s 64 -c 32 -rmo
43	:	1613744460.490	    26.731	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/042_pres_64s_4l && bash run.sh -e pres_64s_4l -i 042 -s 64 -c 32 -rmo
48	:	1613744461.086	    26.135	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/047_pres_64s_4l && bash run.sh -e pres_64s_4l -i 047 -s 64 -c 32 -rmo
42	:	1613744460.483	    26.740	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/041_pres_64s_4l && bash run.sh -e pres_64s_4l -i 041 -s 64 -c 32 -rmo
35	:	1613744460.452	    26.774	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/034_pres_64s_4l && bash run.sh -e pres_64s_4l -i 034 -s 64 -c 32 -rmo
36	:	1613744460.457	    26.769	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/035_pres_64s_4l && bash run.sh -e pres_64s_4l -i 035 -s 64 -c 32 -rmo
34	:	1613744460.394	    26.833	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/033_pres_64s_4l && bash run.sh -e pres_64s_4l -i 033 -s 64 -c 32 -rmo
45	:	1613744460.907	    26.379	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/044_pres_64s_4l && bash run.sh -e pres_64s_4l -i 044 -s 64 -c 32 -rmo
57	:	1613744462.335	    24.957	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/056_pres_64s_4l && bash run.sh -e pres_64s_4l -i 056 -s 64 -c 32 -rmo
54	:	1613744461.483	    25.863	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/053_pres_64s_4l && bash run.sh -e pres_64s_4l -i 053 -s 64 -c 32 -rmo
41	:	1613744460.478	    27.082	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/040_pres_64s_4l && bash run.sh -e pres_64s_4l -i 040 -s 64 -c 32 -rmo
51	:	1613744461.344	    26.302	0	3935	0	0	cd _experiments/pres_64s_4l/_simulations/050_pres_64s_4l && bash run.sh -e pres_64s_4l -i 050 -s 64 -c 32 -rmo
49	:	1613744461.157	    26.552	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/048_pres_64s_4l && bash run.sh -e pres_64s_4l -i 048 -s 64 -c 32 -rmo
56	:	1613744461.772	    25.947	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/055_pres_64s_4l && bash run.sh -e pres_64s_4l -i 055 -s 64 -c 32 -rmo
52	:	1613744461.433	    26.287	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/051_pres_64s_4l && bash run.sh -e pres_64s_4l -i 051 -s 64 -c 32 -rmo
38	:	1613744460.467	    27.315	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/037_pres_64s_4l && bash run.sh -e pres_64s_4l -i 037 -s 64 -c 32 -rmo
61	:	1613744462.416	    25.433	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/060_pres_64s_4l && bash run.sh -e pres_64s_4l -i 060 -s 64 -c 32 -rmo
55	:	1613744461.690	    26.162	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/054_pres_64s_4l && bash run.sh -e pres_64s_4l -i 054 -s 64 -c 32 -rmo
63	:	1613744462.485	    25.716	0	3935	0	0	cd _experiments/pres_64s_4l/_simulations/062_pres_64s_4l && bash run.sh -e pres_64s_4l -i 062 -s 64 -c 32 -rmo
64	:	1613744462.490	    25.779	0	3923	0	0	cd _experiments/pres_64s_4l/_simulations/063_pres_64s_4l && bash run.sh -e pres_64s_4l -i 063 -s 64 -c 32 -rmo
60	:	1613744462.411	    25.928	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/059_pres_64s_4l && bash run.sh -e pres_64s_4l -i 059 -s 64 -c 32 -rmo
59	:	1613744462.408	    26.160	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/058_pres_64s_4l && bash run.sh -e pres_64s_4l -i 058 -s 64 -c 32 -rmo
39	:	1613744460.471	    28.171	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/038_pres_64s_4l && bash run.sh -e pres_64s_4l -i 038 -s 64 -c 32 -rmo
50	:	1613744461.282	    27.432	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/049_pres_64s_4l && bash run.sh -e pres_64s_4l -i 049 -s 64 -c 32 -rmo
58	:	1613744462.400	    26.315	0	3935	0	0	cd _experiments/pres_64s_4l/_simulations/057_pres_64s_4l && bash run.sh -e pres_64s_4l -i 057 -s 64 -c 32 -rmo
62	:	1613744462.476	    26.241	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/061_pres_64s_4l && bash run.sh -e pres_64s_4l -i 061 -s 64 -c 32 -rmo
