Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	:	1613779496.230	    27.394	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/018_pres_64s_4l && bash run.sh -e pres_64s_4l -i 018 -s 64 -c 32 -rmo
23	:	1613779496.247	    27.378	0	3935	0	0	cd _experiments/pres_64s_4l/_simulations/022_pres_64s_4l && bash run.sh -e pres_64s_4l -i 022 -s 64 -c 32 -rmo
15	:	1613779496.202	    27.494	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/014_pres_64s_4l && bash run.sh -e pres_64s_4l -i 014 -s 64 -c 32 -rmo
11	:	1613779496.176	    27.655	0	3636	0	0	cd _experiments/pres_64s_4l/_simulations/010_pres_64s_4l && bash run.sh -e pres_64s_4l -i 010 -s 64 -c 32 -rmo
21	:	1613779496.240	    27.660	0	3938	0	0	cd _experiments/pres_64s_4l/_simulations/020_pres_64s_4l && bash run.sh -e pres_64s_4l -i 020 -s 64 -c 32 -rmo
8	:	1613779496.158	    27.746	0	3635	0	0	cd _experiments/pres_64s_4l/_simulations/007_pres_64s_4l && bash run.sh -e pres_64s_4l -i 007 -s 64 -c 32 -rmo
10	:	1613779496.168	    27.736	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/009_pres_64s_4l && bash run.sh -e pres_64s_4l -i 009 -s 64 -c 32 -rmo
13	:	1613779496.187	    27.793	0	3935	0	0	cd _experiments/pres_64s_4l/_simulations/012_pres_64s_4l && bash run.sh -e pres_64s_4l -i 012 -s 64 -c 32 -rmo
7	:	1613779496.150	    27.904	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/006_pres_64s_4l && bash run.sh -e pres_64s_4l -i 006 -s 64 -c 32 -rmo
17	:	1613779496.215	    27.898	0	3937	0	0	cd _experiments/pres_64s_4l/_simulations/016_pres_64s_4l && bash run.sh -e pres_64s_4l -i 016 -s 64 -c 32 -rmo
20	:	1613779496.236	    28.162	0	3936	0	0	cd _experiments/pres_64s_4l/_simulations/019_pres_64s_4l && bash run.sh -e pres_64s_4l -i 019 -s 64 -c 32 -rmo
5	:	1613779496.141	    28.259	0	3638	0	0	cd _experiments/pres_64s_4l/_simulations/004_pres_64s_4l && bash run.sh -e pres_64s_4l -i 004 -s 64 -c 32 -rmo
4	:	1613779496.137	    28.461	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/003_pres_64s_4l && bash run.sh -e pres_64s_4l -i 003 -s 64 -c 32 -rmo
3	:	1613779496.132	    28.749	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/002_pres_64s_4l && bash run.sh -e pres_64s_4l -i 002 -s 64 -c 32 -rmo
2	:	1613779496.128	    28.902	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/001_pres_64s_4l && bash run.sh -e pres_64s_4l -i 001 -s 64 -c 32 -rmo
9	:	1613779496.163	    29.089	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/008_pres_64s_4l && bash run.sh -e pres_64s_4l -i 008 -s 64 -c 32 -rmo
1	:	1613779496.123	    29.134	0	3606	0	0	cd _experiments/pres_64s_4l/_simulations/000_pres_64s_4l && bash run.sh -e pres_64s_4l -i 000 -s 64 -c 32 -rmo
6	:	1613779496.146	    29.111	0	3637	0	0	cd _experiments/pres_64s_4l/_simulations/005_pres_64s_4l && bash run.sh -e pres_64s_4l -i 005 -s 64 -c 32 -rmo
