Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
30	:	1613576528.755	    43.706	0	3638	0	0	cd _experiments/pres_16s_1l/_simulations/029_pres_16s_1l && bash run.sh -e pres_16s_1l -i 029 -s 64 -c 32 -rmo
23	:	1613576528.714	    43.907	0	3634	0	0	cd _experiments/pres_16s_1l/_simulations/022_pres_16s_1l && bash run.sh -e pres_16s_1l -i 022 -s 64 -c 32 -rmo
20	:	1613576528.702	    44.655	0	3636	0	0	cd _experiments/pres_16s_1l/_simulations/019_pres_16s_1l && bash run.sh -e pres_16s_1l -i 019 -s 64 -c 32 -rmo
3	:	1613576528.603	    46.334	0	3636	0	0	cd _experiments/pres_16s_1l/_simulations/002_pres_16s_1l && bash run.sh -e pres_16s_1l -i 002 -s 64 -c 32 -rmo
9	:	1613576528.633	    46.861	0	3635	0	0	cd _experiments/pres_16s_1l/_simulations/008_pres_16s_1l && bash run.sh -e pres_16s_1l -i 008 -s 64 -c 32 -rmo
14	:	1613576528.665	    47.113	0	3636	0	0	cd _experiments/pres_16s_1l/_simulations/013_pres_16s_1l && bash run.sh -e pres_16s_1l -i 013 -s 64 -c 32 -rmo
2	:	1613576528.599	    48.015	0	3636	0	0	cd _experiments/pres_16s_1l/_simulations/001_pres_16s_1l && bash run.sh -e pres_16s_1l -i 001 -s 64 -c 32 -rmo
11	:	1613576528.643	    48.311	0	3635	0	0	cd _experiments/pres_16s_1l/_simulations/010_pres_16s_1l && bash run.sh -e pres_16s_1l -i 010 -s 64 -c 32 -rmo
25	:	1613576528.720	    48.342	0	3637	0	0	cd _experiments/pres_16s_1l/_simulations/024_pres_16s_1l && bash run.sh -e pres_16s_1l -i 024 -s 64 -c 32 -rmo
19	:	1613576528.696	    49.079	0	3637	0	0	cd _experiments/pres_16s_1l/_simulations/018_pres_16s_1l && bash run.sh -e pres_16s_1l -i 018 -s 64 -c 32 -rmo
31	:	1613576528.760	    49.233	0	3638	0	0	cd _experiments/pres_16s_1l/_simulations/030_pres_16s_1l && bash run.sh -e pres_16s_1l -i 030 -s 64 -c 32 -rmo
8	:	1613576528.627	    49.990	0	3634	0	0	cd _experiments/pres_16s_1l/_simulations/007_pres_16s_1l && bash run.sh -e pres_16s_1l -i 007 -s 64 -c 32 -rmo
6	:	1613576528.616	    50.414	0	3635	0	0	cd _experiments/pres_16s_1l/_simulations/005_pres_16s_1l && bash run.sh -e pres_16s_1l -i 005 -s 64 -c 32 -rmo
