Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1613578461.837	    41.641	0	3605	0	0	cd _experiments/pres_64s_2l/_simulations/000_pres_64s_2l && bash run.sh -e pres_64s_2l -i 000 -s 64 -c 32 -rmo
8	:	1613578461.870	    41.610	0	3634	0	0	cd _experiments/pres_64s_2l/_simulations/007_pres_64s_2l && bash run.sh -e pres_64s_2l -i 007 -s 64 -c 32 -rmo
24	:	1613578461.957	    41.583	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/023_pres_64s_2l && bash run.sh -e pres_64s_2l -i 023 -s 64 -c 32 -rmo
15	:	1613578461.911	    41.766	0	3634	0	0	cd _experiments/pres_64s_2l/_simulations/014_pres_64s_2l && bash run.sh -e pres_64s_2l -i 014 -s 64 -c 32 -rmo
29	:	1613578461.986	    41.690	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/028_pres_64s_2l && bash run.sh -e pres_64s_2l -i 028 -s 64 -c 32 -rmo
28	:	1613578461.982	    41.766	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/027_pres_64s_2l && bash run.sh -e pres_64s_2l -i 027 -s 64 -c 32 -rmo
26	:	1613578461.963	    41.786	0	3634	0	0	cd _experiments/pres_64s_2l/_simulations/025_pres_64s_2l && bash run.sh -e pres_64s_2l -i 025 -s 64 -c 32 -rmo
17	:	1613578461.921	    41.904	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/016_pres_64s_2l && bash run.sh -e pres_64s_2l -i 016 -s 64 -c 32 -rmo
7	:	1613578461.866	    41.968	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/006_pres_64s_2l && bash run.sh -e pres_64s_2l -i 006 -s 64 -c 32 -rmo
5	:	1613578461.855	    41.980	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/004_pres_64s_2l && bash run.sh -e pres_64s_2l -i 004 -s 64 -c 32 -rmo
10	:	1613578461.886	    41.949	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/009_pres_64s_2l && bash run.sh -e pres_64s_2l -i 009 -s 64 -c 32 -rmo
