Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1613765375.222	    42.515	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/005_pres_64s_2l && bash run.sh -e pres_64s_2l -i 005 -s 64 -c 32 -rmo
17	:	1613765375.289	    42.509	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/016_pres_64s_2l && bash run.sh -e pres_64s_2l -i 016 -s 64 -c 32 -rmo
16	:	1613765375.285	    42.582	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/015_pres_64s_2l && bash run.sh -e pres_64s_2l -i 015 -s 64 -c 32 -rmo
8	:	1613765375.234	    42.634	0	3635	0	0	cd _experiments/pres_64s_2l/_simulations/007_pres_64s_2l && bash run.sh -e pres_64s_2l -i 007 -s 64 -c 32 -rmo
2	:	1613765375.203	    42.678	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/001_pres_64s_2l && bash run.sh -e pres_64s_2l -i 001 -s 64 -c 32 -rmo
21	:	1613765375.319	    42.690	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/020_pres_64s_2l && bash run.sh -e pres_64s_2l -i 020 -s 64 -c 32 -rmo
19	:	1613765375.302	    42.784	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/018_pres_64s_2l && bash run.sh -e pres_64s_2l -i 018 -s 64 -c 32 -rmo
31	:	1613765375.379	    42.776	0	3940	0	0	cd _experiments/pres_64s_2l/_simulations/030_pres_64s_2l && bash run.sh -e pres_64s_2l -i 030 -s 64 -c 32 -rmo
11	:	1613765375.249	    43.110	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/010_pres_64s_2l && bash run.sh -e pres_64s_2l -i 010 -s 64 -c 32 -rmo
3	:	1613765375.209	    43.225	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/002_pres_64s_2l && bash run.sh -e pres_64s_2l -i 002 -s 64 -c 32 -rmo
9	:	1613765375.239	    43.199	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/008_pres_64s_2l && bash run.sh -e pres_64s_2l -i 008 -s 64 -c 32 -rmo
4	:	1613765375.214	    43.232	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/003_pres_64s_2l && bash run.sh -e pres_64s_2l -i 003 -s 64 -c 32 -rmo
13	:	1613765375.263	    43.184	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/012_pres_64s_2l && bash run.sh -e pres_64s_2l -i 012 -s 64 -c 32 -rmo
25	:	1613765375.345	    43.171	0	3639	0	0	cd _experiments/pres_64s_2l/_simulations/024_pres_64s_2l && bash run.sh -e pres_64s_2l -i 024 -s 64 -c 32 -rmo
10	:	1613765375.245	    43.336	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/009_pres_64s_2l && bash run.sh -e pres_64s_2l -i 009 -s 64 -c 32 -rmo
20	:	1613765375.308	    43.350	0	3636	0	0	cd _experiments/pres_64s_2l/_simulations/019_pres_64s_2l && bash run.sh -e pres_64s_2l -i 019 -s 64 -c 32 -rmo
24	:	1613765375.336	    43.391	0	3638	0	0	cd _experiments/pres_64s_2l/_simulations/023_pres_64s_2l && bash run.sh -e pres_64s_2l -i 023 -s 64 -c 32 -rmo
7	:	1613765375.227	    43.561	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/006_pres_64s_2l && bash run.sh -e pres_64s_2l -i 006 -s 64 -c 32 -rmo
28	:	1613765375.365	    43.500	0	3940	0	0	cd _experiments/pres_64s_2l/_simulations/027_pres_64s_2l && bash run.sh -e pres_64s_2l -i 027 -s 64 -c 32 -rmo
14	:	1613765375.269	    43.662	0	3637	0	0	cd _experiments/pres_64s_2l/_simulations/013_pres_64s_2l && bash run.sh -e pres_64s_2l -i 013 -s 64 -c 32 -rmo
1	:	1613765375.199	    43.734	0	3606	0	0	cd _experiments/pres_64s_2l/_simulations/000_pres_64s_2l && bash run.sh -e pres_64s_2l -i 000 -s 64 -c 32 -rmo
