Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
25	:	1613753641.032	    13.546	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/024_pres_64s_2l && bash run.sh -e pres_64s_2l -i 024 -s 64 -c 32 -rmo
15	:	1613753640.977	    13.688	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/014_pres_64s_2l && bash run.sh -e pres_64s_2l -i 014 -s 64 -c 32 -rmo
5	:	1613753640.916	    13.751	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/004_pres_64s_2l && bash run.sh -e pres_64s_2l -i 004 -s 64 -c 32 -rmo
13	:	1613753640.966	    13.701	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/012_pres_64s_2l && bash run.sh -e pres_64s_2l -i 012 -s 64 -c 32 -rmo
18	:	1613753641.000	    13.667	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/017_pres_64s_2l && bash run.sh -e pres_64s_2l -i 017 -s 64 -c 32 -rmo
21	:	1613753641.013	    13.655	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/020_pres_64s_2l && bash run.sh -e pres_64s_2l -i 020 -s 64 -c 32 -rmo
22	:	1613753641.016	    13.652	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/021_pres_64s_2l && bash run.sh -e pres_64s_2l -i 021 -s 64 -c 32 -rmo
23	:	1613753641.023	    13.647	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/022_pres_64s_2l && bash run.sh -e pres_64s_2l -i 022 -s 64 -c 32 -rmo
26	:	1613753641.034	    13.636	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/025_pres_64s_2l && bash run.sh -e pres_64s_2l -i 025 -s 64 -c 32 -rmo
30	:	1613753641.070	    13.601	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/029_pres_64s_2l && bash run.sh -e pres_64s_2l -i 029 -s 64 -c 32 -rmo
6	:	1613753640.920	    13.842	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/005_pres_64s_2l && bash run.sh -e pres_64s_2l -i 005 -s 64 -c 32 -rmo
9	:	1613753640.935	    13.828	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/008_pres_64s_2l && bash run.sh -e pres_64s_2l -i 008 -s 64 -c 32 -rmo
10	:	1613753640.940	    13.825	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/009_pres_64s_2l && bash run.sh -e pres_64s_2l -i 009 -s 64 -c 32 -rmo
14	:	1613753640.970	    13.795	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/013_pres_64s_2l && bash run.sh -e pres_64s_2l -i 013 -s 64 -c 32 -rmo
19	:	1613753641.004	    13.762	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/018_pres_64s_2l && bash run.sh -e pres_64s_2l -i 018 -s 64 -c 32 -rmo
27	:	1613753641.043	    13.723	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/026_pres_64s_2l && bash run.sh -e pres_64s_2l -i 026 -s 64 -c 32 -rmo
29	:	1613753641.062	    13.704	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/028_pres_64s_2l && bash run.sh -e pres_64s_2l -i 028 -s 64 -c 32 -rmo
20	:	1613753641.007	    13.759	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/019_pres_64s_2l && bash run.sh -e pres_64s_2l -i 019 -s 64 -c 32 -rmo
31	:	1613753641.077	    13.690	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/030_pres_64s_2l && bash run.sh -e pres_64s_2l -i 030 -s 64 -c 32 -rmo
2	:	1613753640.903	    13.873	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/001_pres_64s_2l && bash run.sh -e pres_64s_2l -i 001 -s 64 -c 32 -rmo
3	:	1613753640.907	    13.871	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/002_pres_64s_2l && bash run.sh -e pres_64s_2l -i 002 -s 64 -c 32 -rmo
8	:	1613753640.931	    13.848	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/007_pres_64s_2l && bash run.sh -e pres_64s_2l -i 007 -s 64 -c 32 -rmo
12	:	1613753640.956	    13.822	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/011_pres_64s_2l && bash run.sh -e pres_64s_2l -i 011 -s 64 -c 32 -rmo
17	:	1613753640.986	    13.792	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/016_pres_64s_2l && bash run.sh -e pres_64s_2l -i 016 -s 64 -c 32 -rmo
1	:	1613753640.899	    13.881	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/000_pres_64s_2l && bash run.sh -e pres_64s_2l -i 000 -s 64 -c 32 -rmo
11	:	1613753640.949	    13.831	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/010_pres_64s_2l && bash run.sh -e pres_64s_2l -i 010 -s 64 -c 32 -rmo
16	:	1613753640.981	    13.799	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/015_pres_64s_2l && bash run.sh -e pres_64s_2l -i 015 -s 64 -c 32 -rmo
24	:	1613753641.028	    13.752	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/023_pres_64s_2l && bash run.sh -e pres_64s_2l -i 023 -s 64 -c 32 -rmo
28	:	1613753641.051	    13.729	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/027_pres_64s_2l && bash run.sh -e pres_64s_2l -i 027 -s 64 -c 32 -rmo
32	:	1613753641.080	    13.700	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/031_pres_64s_2l && bash run.sh -e pres_64s_2l -i 031 -s 64 -c 32 -rmo
4	:	1613753640.912	    14.113	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/003_pres_64s_2l && bash run.sh -e pres_64s_2l -i 003 -s 64 -c 32 -rmo
7	:	1613753640.926	    14.170	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/006_pres_64s_2l && bash run.sh -e pres_64s_2l -i 006 -s 64 -c 32 -rmo
39	:	1613753654.792	     7.118	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/038_pres_64s_2l && bash run.sh -e pres_64s_2l -i 038 -s 64 -c 32 -rmo
44	:	1613753654.817	     7.154	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/043_pres_64s_2l && bash run.sh -e pres_64s_2l -i 043 -s 64 -c 32 -rmo
36	:	1613753654.761	     7.346	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/035_pres_64s_2l && bash run.sh -e pres_64s_2l -i 035 -s 64 -c 32 -rmo
40	:	1613753654.797	     7.458	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/039_pres_64s_2l && bash run.sh -e pres_64s_2l -i 039 -s 64 -c 32 -rmo
38	:	1613753654.786	     7.470	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/037_pres_64s_2l && bash run.sh -e pres_64s_2l -i 037 -s 64 -c 32 -rmo
43	:	1613753654.811	     7.445	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/042_pres_64s_2l && bash run.sh -e pres_64s_2l -i 042 -s 64 -c 32 -rmo
33	:	1613753654.584	     7.678	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/032_pres_64s_2l && bash run.sh -e pres_64s_2l -i 032 -s 64 -c 32 -rmo
45	:	1613753654.825	     7.498	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/044_pres_64s_2l && bash run.sh -e pres_64s_2l -i 044 -s 64 -c 32 -rmo
37	:	1613753654.777	     7.620	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/036_pres_64s_2l && bash run.sh -e pres_64s_2l -i 036 -s 64 -c 32 -rmo
35	:	1613753654.752	     7.644	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/034_pres_64s_2l && bash run.sh -e pres_64s_2l -i 034 -s 64 -c 32 -rmo
34	:	1613753654.675	     7.792	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/033_pres_64s_2l && bash run.sh -e pres_64s_2l -i 033 -s 64 -c 32 -rmo
54	:	1613753654.877	     7.664	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/053_pres_64s_2l && bash run.sh -e pres_64s_2l -i 053 -s 64 -c 32 -rmo
49	:	1613753654.849	     7.759	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/048_pres_64s_2l && bash run.sh -e pres_64s_2l -i 048 -s 64 -c 32 -rmo
58	:	1613753654.907	     7.875	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/057_pres_64s_2l && bash run.sh -e pres_64s_2l -i 057 -s 64 -c 32 -rmo
63	:	1613753655.036	     7.815	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/062_pres_64s_2l && bash run.sh -e pres_64s_2l -i 062 -s 64 -c 32 -rmo
46	:	1613753654.829	     8.094	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/045_pres_64s_2l && bash run.sh -e pres_64s_2l -i 045 -s 64 -c 32 -rmo
57	:	1613753654.901	     8.088	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/056_pres_64s_2l && bash run.sh -e pres_64s_2l -i 056 -s 64 -c 32 -rmo
52	:	1613753654.867	     8.192	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/051_pres_64s_2l && bash run.sh -e pres_64s_2l -i 051 -s 64 -c 32 -rmo
48	:	1613753654.844	     8.286	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/047_pres_64s_2l && bash run.sh -e pres_64s_2l -i 047 -s 64 -c 32 -rmo
55	:	1613753654.885	     8.319	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/054_pres_64s_2l && bash run.sh -e pres_64s_2l -i 054 -s 64 -c 32 -rmo
51	:	1613753654.857	     8.410	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/050_pres_64s_2l && bash run.sh -e pres_64s_2l -i 050 -s 64 -c 32 -rmo
64	:	1613753655.103	     8.236	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/063_pres_64s_2l && bash run.sh -e pres_64s_2l -i 063 -s 64 -c 32 -rmo
60	:	1613753654.919	     8.490	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/059_pres_64s_2l && bash run.sh -e pres_64s_2l -i 059 -s 64 -c 32 -rmo
42	:	1613753654.806	     8.604	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/041_pres_64s_2l && bash run.sh -e pres_64s_2l -i 041 -s 64 -c 32 -rmo
53	:	1613753654.873	     8.537	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/052_pres_64s_2l && bash run.sh -e pres_64s_2l -i 052 -s 64 -c 32 -rmo
61	:	1613753654.932	     8.547	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/060_pres_64s_2l && bash run.sh -e pres_64s_2l -i 060 -s 64 -c 32 -rmo
56	:	1613753654.893	     8.650	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/055_pres_64s_2l && bash run.sh -e pres_64s_2l -i 055 -s 64 -c 32 -rmo
47	:	1613753654.838	     8.774	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/046_pres_64s_2l && bash run.sh -e pres_64s_2l -i 046 -s 64 -c 32 -rmo
59	:	1613753654.913	     8.771	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/058_pres_64s_2l && bash run.sh -e pres_64s_2l -i 058 -s 64 -c 32 -rmo
41	:	1613753654.802	     8.884	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/040_pres_64s_2l && bash run.sh -e pres_64s_2l -i 040 -s 64 -c 32 -rmo
50	:	1613753654.853	     8.898	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/049_pres_64s_2l && bash run.sh -e pres_64s_2l -i 049 -s 64 -c 32 -rmo
62	:	1613753654.936	     8.888	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/061_pres_64s_2l && bash run.sh -e pres_64s_2l -i 061 -s 64 -c 32 -rmo
