Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1613748439.089	    23.523	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/022_pres_64s_2l && bash run.sh -e pres_64s_2l -i 022 -s 64 -c 32 -rmo
9	:	1613748439.003	    23.671	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/008_pres_64s_2l && bash run.sh -e pres_64s_2l -i 008 -s 64 -c 32 -rmo
30	:	1613748439.128	    23.552	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/029_pres_64s_2l && bash run.sh -e pres_64s_2l -i 029 -s 64 -c 32 -rmo
14	:	1613748439.036	    23.681	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/013_pres_64s_2l && bash run.sh -e pres_64s_2l -i 013 -s 64 -c 32 -rmo
11	:	1613748439.020	    23.710	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/010_pres_64s_2l && bash run.sh -e pres_64s_2l -i 010 -s 64 -c 32 -rmo
32	:	1613748439.136	    23.596	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/031_pres_64s_2l && bash run.sh -e pres_64s_2l -i 031 -s 64 -c 32 -rmo
26	:	1613748439.110	    23.627	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/025_pres_64s_2l && bash run.sh -e pres_64s_2l -i 025 -s 64 -c 32 -rmo
17	:	1613748439.057	    23.728	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/016_pres_64s_2l && bash run.sh -e pres_64s_2l -i 016 -s 64 -c 32 -rmo
13	:	1613748439.030	    23.766	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/012_pres_64s_2l && bash run.sh -e pres_64s_2l -i 012 -s 64 -c 32 -rmo
15	:	1613748439.042	    23.754	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/014_pres_64s_2l && bash run.sh -e pres_64s_2l -i 014 -s 64 -c 32 -rmo
1	:	1613748438.963	    23.842	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/000_pres_64s_2l && bash run.sh -e pres_64s_2l -i 000 -s 64 -c 32 -rmo
5	:	1613748438.982	    23.824	0	557	1	0	cd _experiments/pres_64s_2l/_simulations/004_pres_64s_2l && bash run.sh -e pres_64s_2l -i 004 -s 64 -c 32 -rmo
